canopy_score,vertical_score,forest_pct,plantation_pct,tlength_km,is_monsoon,traffic_volume,fencing_present,survey_count
-0.5179298,-0.8714675,-0.6128974,0.0,-0.04702831,0.65706605,0.0,0.0,0.0
-0.5916563,-0.6452425,-0.40774414,0.0,-0.04702831,-0.6452928,0.0,0.0,0.0
-0.5179298,-0.6385815,-0.6128974,0.0,-0.04702831,0.8635609,0.0,0.0,0.0
-0.5916563,-0.8247341,-0.40774414,0.0,-0.04702831,-0.85117567,0.0,0.0,0.0
0.5198444,-0.47497672,0.3507056,0.0,-0.04702831,0.9231839,0.0,0.0,0.0
0.6475953,-0.66112936,0.24047285,0.0,-0.04702831,-0.9054613,0.0,0.0,0.0
-0.54953295,-0.8943654,0.32396123,0.0,-0.04702831,0.8174278,0.0,0.0,0.0
-0.62325954,-0.6681404,0.21372849,0.0,-0.04702831,-0.8003173,0.0,0.0,0.0
0.6395524,0.31975028,0.3692258,0.0,0.08158854,0.71668917,0.0,0.0,0.0
0.7673034,0.54597527,0.25899306,0.0,0.08158854,-0.6995785,0.0,0.0,0.0
-0.3290863,0.13324764,0.34248143,0.0,0.08158854,0.71668917,0.0,0.0,0.0
-0.20133552,0.35947266,0.23224868,0.0,0.08158854,-0.6995785,0.0,0.0,0.0
-0.44865096,0.32677835,0.32396123,0.0,-0.020853892,1.0239226,0.0,0.0,0.0
-0.52237755,0.14062585,0.21372849,0.0,-0.020853892,-1.0062,0.0,0.0,0.0
0.18727744,0.4276528,0.32396123,0.0,-0.020853892,1.0239226,0.0,0.0,0.0
0.11355087,0.2415003,0.21372849,0.0,-0.020853892,-1.0062,0.0,0.0,0.0
0.6395524,0.31975028,0.3692258,0.0,0.08158854,0.71668917,0.0,0.0,0.0
0.7673034,0.54597527,0.25899306,0.0,0.08158854,-0.6995785,0.0,0.0,0.0
0.2188807,0.45055065,-0.6128974,0.0,-0.020853892,0.8635609,0.0,0.0,0.0
0.14515413,0.26439813,-0.40774414,0.0,-0.020853892,-0.85117567,0.0,0.0,0.0
0.2188807,0.40949705,-0.5146885,0.0,0.03617903,0.88419056,0.0,0.0,0.0
0.14515413,0.22334453,-0.3494981,0.0,0.03617903,-0.8705089,0.0,0.0,0.0
